experiment_id,technique,privacy_score,execution_time_seconds,anonymity_set_size,throughput_tps,storage_overhead_mb,computation_cost,accuracy
exp_00365,zkp,98.69,3.751,1,347.84,86.48,7.5952,0.9979
exp_00366,smpc,92.27,6.875,9,206.72,27.67,0.5795,0.9521
exp_00367,ring_signature,68.91,1.84,50,613.28,32.88,6.0583,0.9976
exp_00368,zkp,90.46,3.271,1,739.21,39.07,2.4082,0.9823
exp_00369,zkp,99.19,2.644,1,488.88,24.72,6.9411,0.97
exp_00370,ring_signature,84.88,0.183,40,831.84,39.05,4.4979,0.9508
exp_00371,zkp,95.86,0.65,1,438.97,98.5,1.3416,0.9562
exp_00372,ring_signature,72.01,0.157,21,596.56,47.46,8.9783,0.9728
exp_00373,tee,89.71,0.97,1,423.36,84.73,7.5986,0.9551
exp_00374,ring_signature,86.83,1.232,38,582.6,73.41,7.5906,0.9918
exp_00375,zkp,92.04,1.296,1,73.94,72.23,6.4579,0.964
exp_00376,smpc,75.7,1.929,7,989.42,73.34,7.8613,0.9596
exp_00377,tee,96.76,1.195,1,647.68,19.16,1.8786,0.9842
exp_00378,smpc,84.88,1.995,16,11.33,69.95,1.2561,0.9585
exp_00379,mixer,71.69,13.498,30,623.39,97.0,6.8535,0.9723
exp_00380,smpc,86.62,8.491,18,324.42,4.59,4.9165,0.9757
exp_00381,smpc,83.24,9.42,9,401.95,37.78,5.0758,0.9723
exp_00382,ring_signature,73.71,1.588,23,494.17,83.99,4.6042,0.9811
exp_00383,zkp,98.95,2.108,1,914.3,79.79,8.3259,0.9672
exp_00384,zkp,99.92,3.983,1,256.29,92.68,1.3154,0.978
exp_00385,smpc,93.94,8.469,9,894.13,32.6,3.9502,0.9626
exp_00386,mixer,77.56,26.475,64,105.51,52.85,4.3242,0.961
exp_00387,tee,94.3,0.335,1,935.4,51.61,3.8396,0.9693
exp_00388,ring_signature,76.26,0.593,33,983.94,64.18,4.9293,0.9502
exp_00389,mixer,69.35,19.559,95,765.2,73.12,8.6204,0.9613
exp_00390,ring_signature,69.32,0.939,46,324.07,36.49,2.7938,0.9711
exp_00391,tee,86.97,1.051,1,879.64,45.48,0.2925,0.9903
exp_00392,zkp,91.99,0.992,1,972.76,2.26,8.6156,0.9754
exp_00393,smpc,85.18,6.801,12,722.55,93.09,8.3289,0.9638
exp_00394,smpc,91.5,6.464,16,204.8,60.06,6.5496,0.9919
exp_00395,tee,95.17,1.127,1,961.35,86.26,6.8862,0.9736
exp_00396,ring_signature,82.12,0.494,44,176.59,74.13,8.5366,0.9811
exp_00397,tee,97.28,0.665,1,501.5,56.76,4.3334,0.9705
exp_00398,tee,86.89,1.178,1,842.69,9.04,0.2692,0.9922
exp_00399,mixer,86.4,22.955,52,582.8,3.96,9.7359,0.958
exp_00400,tee,94.74,0.641,1,176.22,35.13,8.6711,0.9506
exp_00401,smpc,73.35,9.58,18,320.78,8.31,1.8409,0.9788
exp_00402,mixer,55.76,14.022,47,302.75,53.89,4.4579,0.9642
exp_00403,smpc,80.83,4.713,16,67.26,96.95,9.9456,0.9594
exp_00404,zkp,97.26,2.323,1,728.15,79.46,9.3911,0.9844
exp_00405,zkp,90.53,0.671,1,632.23,59.31,9.8485,0.9768
exp_00406,smpc,71.45,6.688,20,795.35,44.89,4.6945,0.9886
exp_00407,mixer,64.76,28.351,38,712.63,55.0,5.8908,0.9753
exp_00408,mixer,50.21,28.369,78,105.04,32.25,1.5616,0.9876
exp_00409,ring_signature,80.22,0.735,24,577.7,82.34,6.6966,0.9569
exp_00410,mixer,57.9,28.758,62,297.49,74.87,3.0835,0.9899
exp_00411,smpc,74.14,4.407,20,895.67,54.1,4.0851,0.9811
exp_00412,tee,87.63,1.442,1,415.95,44.29,0.2587,0.9947
exp_00413,smpc,86.5,7.892,14,613.73,6.8,7.3809,0.9567
exp_00414,tee,95.38,0.912,1,417.25,94.56,6.9979,0.9914
exp_00415,zkp,91.65,0.649,1,858.67,66.34,5.372,0.9952
exp_00416,zkp,97.29,2.848,1,80.08,99.81,9.8217,0.963
exp_00417,mixer,87.44,10.047,54,141.09,56.69,7.8898,0.9905
exp_00418,tee,96.83,0.443,1,72.72,7.91,6.7292,0.9729
exp_00419,smpc,81.25,7.004,5,51.15,36.12,8.3511,0.9939
exp_00420,ring_signature,80.71,0.687,25,924.13,76.17,7.1015,0.9722
exp_00421,zkp,91.51,3.39,1,284.16,87.48,3.9612,0.9843
exp_00422,smpc,79.93,7.394,11,399.14,77.34,7.6318,0.9745
exp_00423,ring_signature,62.92,1.645,27,286.48,85.28,7.2503,0.9836
exp_00424,mixer,58.83,21.79,81,307.9,10.07,7.1696,0.9897
exp_00425,zkp,91.6,4.679,1,263.87,53.35,7.7708,0.9725
exp_00426,mixer,75.9,8.811,38,316.44,0.29,5.6704,0.9759
exp_00427,mixer,77.98,16.075,29,885.45,31.25,1.8587,0.9795
exp_00428,mixer,57.06,29.513,71,14.44,66.21,3.7185,0.9957
exp_00429,ring_signature,82.28,1.703,25,55.0,22.69,3.7372,0.9887
exp_00430,mixer,79.86,27.94,97,687.57,42.17,1.2565,0.9553
exp_00431,smpc,71.76,2.297,18,51.41,75.78,9.5517,0.99
exp_00432,smpc,75.22,1.736,15,508.54,56.53,4.2321,0.9823
exp_00433,zkp,95.71,4.422,1,235.93,54.78,4.8676,0.9892
exp_00434,ring_signature,92.19,0.542,43,487.65,55.86,1.3109,0.956
exp_00435,smpc,88.04,7.28,6,216.03,55.27,2.0605,0.9554
exp_00436,mixer,76.35,15.708,79,125.94,35.3,9.0515,0.9581
exp_00437,mixer,60.34,8.6,87,59.46,97.18,1.4317,0.998
exp_00438,tee,97.1,0.342,1,361.27,58.2,9.6253,0.9522
exp_00439,ring_signature,61.31,0.261,32,358.6,15.01,1.1286,0.9681
exp_00440,smpc,82.31,8.005,7,581.23,61.11,0.4231,0.9769
exp_00441,smpc,72.33,4.716,13,77.43,30.93,5.9442,0.9744
exp_00442,tee,90.18,0.659,1,775.11,70.66,0.7009,0.9954
exp_00443,zkp,99.25,2.453,1,593.64,3.64,0.7554,0.9861
exp_00444,mixer,83.9,20.648,82,745.22,38.84,1.8861,0.9939
exp_00445,tee,94.64,1.482,1,458.08,53.9,4.1967,0.9693
exp_00446,mixer,61.64,21.252,83,365.24,86.08,9.6744,0.9565
exp_00447,zkp,91.38,3.48,1,809.88,55.52,7.2165,0.9881
exp_00448,zkp,98.7,1.151,1,508.63,50.1,2.0749,0.9663
exp_00449,ring_signature,69.77,1.993,10,596.07,49.12,2.7773,0.9972
exp_00450,smpc,76.15,8.503,16,84.84,70.9,1.4677,0.956
exp_00451,smpc,87.37,2.549,6,944.23,80.44,5.7751,0.9992
exp_00452,mixer,83.67,29.636,84,145.59,30.68,8.0025,0.9623
exp_00453,tee,86.78,0.292,1,520.24,36.02,4.6001,0.9502
exp_00454,tee,96.99,0.781,1,700.37,41.38,5.4629,0.9618
exp_00455,smpc,82.11,5.977,20,889.14,37.48,6.3405,0.9715
exp_00456,smpc,79.79,4.116,4,447.17,90.5,7.9942,0.9704
exp_00457,zkp,95.49,1.79,1,906.9,73.36,1.8278,0.9971
exp_00458,smpc,88.88,9.393,8,274.82,95.74,9.4623,0.9917
exp_00459,mixer,63.79,15.382,29,413.76,68.57,7.4358,0.9534
exp_00460,zkp,91.09,2.125,1,160.31,40.51,6.0106,0.9764
exp_00461,mixer,63.61,21.527,49,592.72,6.4,8.5212,0.9831
exp_00462,zkp,99.97,4.545,1,617.96,28.21,8.2584,0.973
exp_00463,mixer,80.9,25.358,26,97.62,48.12,0.3624,0.9699
exp_00464,mixer,70.86,21.471,14,188.02,19.7,2.0613,0.9919
exp_00465,ring_signature,78.89,0.797,26,421.03,46.46,8.3552,0.9965
exp_00466,smpc,88.84,7.177,6,247.94,74.96,1.3841,0.9587
exp_00467,mixer,74.8,9.45,28,527.66,75.26,0.5451,0.966
exp_00468,zkp,98.85,3.708,1,995.11,34.83,3.6257,0.9557
exp_00469,zkp,95.89,3.931,1,723.28,78.01,0.0346,0.9673
exp_00470,mixer,64.68,14.432,52,460.62,54.84,0.4489,0.9717
exp_00471,zkp,91.52,2.491,1,560.54,82.12,7.0141,0.9966
exp_00472,tee,85.82,0.786,1,30.02,56.74,8.6023,0.9891
exp_00473,zkp,95.93,2.341,1,504.36,67.69,4.2076,0.9826
exp_00474,smpc,92.93,3.58,3,696.09,1.81,8.7781,0.951
exp_00475,smpc,77.55,5.662,19,903.07,93.38,6.9098,0.9717
exp_00476,mixer,63.19,13.421,39,398.94,31.07,5.7709,0.9677
exp_00477,tee,90.26,0.289,1,930.56,83.68,3.3367,0.9998
exp_00478,tee,87.23,0.843,1,650.35,71.68,4.3926,0.9653
exp_00479,smpc,92.11,9.038,9,522.8,5.6,6.5745,0.9658
exp_00480,zkp,94.1,4.198,1,992.47,19.07,6.6139,0.9972
exp_00481,ring_signature,89.67,2.0,33,758.94,92.7,7.5109,0.9915
exp_00482,mixer,57.2,16.694,70,546.51,57.55,4.8314,0.9536
exp_00483,ring_signature,70.77,0.649,47,281.03,57.69,6.9345,0.9637
exp_00484,smpc,75.2,8.882,9,996.13,90.41,6.7782,0.997
exp_00485,mixer,63.93,13.64,62,835.71,79.53,3.4018,0.983
exp_00486,smpc,86.66,7.879,13,409.49,42.84,0.7049,0.9707
exp_00487,mixer,82.24,19.603,43,972.62,34.02,2.4002,0.9882
exp_00488,smpc,86.02,8.943,10,182.46,78.26,0.6,0.9994
exp_00489,mixer,51.99,14.15,26,920.47,0.4,4.3477,0.9776
exp_00490,smpc,79.45,8.991,19,361.5,51.11,3.2852,0.9554
exp_00491,zkp,94.05,1.088,1,919.93,91.25,9.157,0.9564
exp_00492,zkp,96.26,2.815,1,201.73,52.48,3.395,0.9638
exp_00493,smpc,78.83,9.939,9,776.97,5.93,7.2459,0.9735
exp_00494,tee,96.07,1.032,1,80.2,66.42,2.7913,0.958
exp_00495,tee,96.22,1.139,1,54.9,30.61,3.0981,0.9661
exp_00496,tee,92.32,0.562,1,873.91,60.57,3.4171,0.9945
exp_00497,ring_signature,93.86,0.129,10,875.69,49.77,0.9643,0.9993
exp_00498,tee,89.74,0.495,1,680.48,48.54,3.4995,0.9716
exp_00499,mixer,88.87,24.118,100,953.39,5.42,0.1027,0.989
